location,year,catch,direct_consumption,fishmeal_and_fish_oil,other_usage
Angola,1950,185510.443020226,131593.63136723297,53236.89781209302,679.9138409
Angola,1951,233352.25990487705,154768.38098814702,77611.437253213,972.4416635169998
Angola,1952,206141.87269309105,153696.69661926202,51776.276394012,668.8996798170001
Angola,1953,284791.721868623,225788.96837397697,58219.690976522,783.0625181239999
Angola,1954,323015.92481945694,255439.0819887,66682.02702082698,894.8158099300001
Angola,1955,351111.3019009069,245353.11264663097,104428.112066338,1330.077187938
Angola,1956,488190.57796098304,241485.94939896805,243752.17555889892,2952.453003116
Angola,1957,459599.740091558,228137.110501959,228686.915136998,2775.714452601
Angola,1958,336371.06662206794,190474.074598038,144129.46381248,1767.5282115500002
Angola,1959,326434.542444172,181861.973372102,142822.92613118002,1749.6429408899996
Angola,1960,312671.16073136,181713.57666976005,129358.886403179,1598.697658421
Angola,1961,306855.3841236831,168173.58016463203,137001.323040448,1680.4809186030002
Angola,1962,336936.1584231079,187627.27671258,147499.197990856,1809.6837196720005
Angola,1963,305584.985429636,176094.37610337502,127921.503985387,1569.105340874
Angola,1964,423563.573289013,200664.67551386904,220237.374310124,2661.52346502
Angola,1965,321406.37141237286,155600.70847892293,163816.24677526898,1989.416158181
Angola,1966,398464.5088230521,176778.14494515,219041.76808954304,2644.5957883590004
Angola,1967,360203.04365155,160846.96495940402,196975.071965126,2381.00672702
Angola,1968,366405.395328681,167091.36614046,196932.832520002,2381.1966682189995
Angola,1969,494867.2042078501,233437.64170225497,258308.19112565904,3121.371379936
Angola,1970,440317.761375568,221216.95103371493,216474.44502444696,2626.3653174060005
Angola,1971,389559.49849418906,157469.53416448404,229337.761229397,2752.203100308
Angola,1972,687725.4421260039,279946.2913538169,402941.14419223205,4838.006579954999
Angola,1973,549825.9372781292,252528.37905523204,293743.999312594,3553.558910303
Angola,1974,470637.2925108239,294468.575242227,173995.32334049194,2173.393928105001
Angola,1975,218189.16225481292,98602.438937304,118153.731097889,1432.9922196199998
Angola,1976,137952.77244247502,136441.095336122,1236.086942791,275.590163562
Angola,1977,179359.38030960303,176191.57161552602,2613.675128149001,554.1335659280002
Angola,1978,189482.547104865,186303.279739462,2620.167577083,559.09978832
Angola,1979,178219.44426134892,176560.31943974193,1348.0246835080002,311.100138099
